Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
1503960366,04/12/2016,13162,8.5,8.5,,1.879999995,0.551192928,6.599999428,,25,13,328,728,1985
1503960366,4/13/2016,1735,6.969999792,6.969999792,,1.57524529,0.689999998,4.713814697,,21,19,217,776,1797
1503960366,4/14/2016,146,6.739999771,6.739999771,,2.44572246,0.4596464,3.91858369,,3,11,181,1218,1776
1503960366,4/15/2016,9762,6.28298834,6.28298834,,2.14149417,1.259999995,2.829999924,,29,34,29,726,1745
1503960366,4/16/2016,12669,8.159999847,8.159999847,,2.713814697,0.499999964,5.399999619,,36,1,221,773,1863
1503960366,4/17/2016,975,6.48197349,6.48197349,,3.19572246,0.779999971,2.599999946,,38,2,164,539,1728
1503960366,4/18/2016,1319,8.591525879,8.591525879,,3.25,0.639999986,4.713814697,,42,16,233,1149,1921
1503960366,4/19/2016,1556,9.881144492,9.881144492,,3.529999971,1.32524529,5.3298834,,5,31,264,775,235
1503960366,4/20/2016,1544,6.679999828,6.679999828,,1.963814697,0.479999989,4.239999771,,28,12,25,818,1786
1503960366,4/21/2016,9819,6.341525879,6.341525879,,1.34333786,0.349999994,4.659536743,,19,8,211,838,1775
1503960366,4/22/2016,12764,8.131144492,8.131144492,,4.762288818,1.12476837,2.24953674,,66,27,13,1217,1827
1503960366,4/23/2016,14371,9.399999619,9.399999619,,2.899999428,0.874768372,5.361335144,,41,21,262,732,1949
1503960366,4/24/2016,139,6.499998474,6.499998474,,2.927629395,0.299999934,3.279999971,,39,5,238,79,1788
1503960366,4/25/2016,15355,9.81973486,9.81973486,,5.289999962,0.569999993,3.94572246,,73,14,216,814,213
1503960366,4/26/2016,13755,8.789999962,8.789999962,,2.329999924,0.921668931,5.539999962,,31,23,279,833,197
1503960366,4/27/2016,18134,12.2138147,12.2138147,,6.49536743,0.499999964,5.499998474,,78,11,243,118,2159
1503960366,4/28/2016,13154,8.529999733,8.529999733,,3.539999962,1.159999967,3.789999962,,48,28,189,782,1898
1503960366,4/29/2016,11181,7.159536743,7.159536743,,1.599999428,0.5,5.579999924,,16,12,243,815,1837
1503960366,4/30/2016,14673,9.25,9.25,,3.559999943,1.419999958,4.269999989,,52,34,217,712,1947
1503960366,05/01/2016,162,6.899999428,6.899999428,,2.289999962,1.62384186,2.927629395,,33,35,246,73,182
1503960366,05/02/2016,14727,9.713814697,9.713814697,,3.213814697,0.569999993,5.927629395,,41,15,277,798,24
1503960366,05/03/2016,1513,9.659999847,9.659999847,,3.73197349,1.499999523,4.881144492,,5,24,254,816,199
1503960366,05/04/2016,111,7.159536743,7.159536743,,2.463814697,0.874768372,3.819999933,,36,22,23,1179,1819
1503960366,05/05/2016,147,8.899999619,8.899999619,,2.927629395,1.84291534,4.881144492,,45,24,25,857,1959
1503960366,05/06/2016,12159,8.29999733,8.29999733,,1.97286123,0.25,5.899999428,,24,6,289,754,1896
1503960366,05/07/2016,11992,7.713814697,7.713814697,,2.463814697,2.119999886,3.131144492,,37,46,175,833,1821
1503960366,05/08/2016,16,6.579999924,6.579999924,,3.529999971,0.319999993,2.73197349,,44,8,23,574,174
1503960366,05/09/2016,1222,7.719999792,7.719999792,,3.454768372,0.529999971,3.74953674,,46,11,26,835,1819
1503960366,05/10/2016,1227,7.769999989,7.769999989,,3.349999946,1.159999967,3.259999995,,46,31,214,746,1859
1503960366,05/11/2016,1277,8.131144492,8.131144492,,2.559999943,1.999999463,4.551973486,,36,23,251,669,1783
1503960366,05/12/2016,,,,,,,,,,,,144,
1624580081,04/12/2016,8163,5.399999428,5.399999428,,,,5.399999428,,,,146,1294,1432
1624580081,4/13/2016,77,4.551973486,4.551973486,,,,4.551973486,,,,148,1292,1411
1624580081,4/14/2016,917,5.927629395,5.927629395,,,,5.999998474,0.999999978,,,236,124,1572
1624580081,4/15/2016,151,0.981973486,0.981973486,,,,0.972861229,,,,96,1344,1344
1624580081,4/16/2016,537,3.49953674,3.49953674,,,,3.49953674,,,,176,1264,1463
1624580081,4/17/2016,6175,4.599999428,4.599999428,,1.299999714,1.519999989,1.49953674,0.999999978,15,22,127,1276,1554
1624580081,4/18/2016,1536,7.499998474,7.499998474,,2.159536743,0.624768372,4.619999886,0.999999978,17,7,22,1214,164
1624580081,4/19/2016,2916,1.899999976,1.899999976,,,,1.899999976,,,,141,1299,1435
1624580081,4/20/2016,4974,3.23197349,3.23197349,,,,3.23197349,,,,151,1289,1446
1624580081,4/21/2016,6349,4.131144492,4.131144492,,,,4.111335144,0.199999996,,,186,1254,1467
1624580081,4/22/2016,426,2.619999886,2.619999886,,,,2.599999946,,,,199,1241,147
1624580081,4/23/2016,8538,5.551973486,5.551973486,,,,5.539999962,0.999999978,,,227,1213,1562
1624580081,4/24/2016,676,3.954768372,3.954768372,,1.149999976,0.912622644,1.889999986,,16,18,185,1221,1617
1624580081,4/25/2016,6497,4.219999792,4.219999792,,,,4.199999893,0.199999996,,,22,1238,1492
1624580081,4/26/2016,2826,1.84333786,1.84333786,,,,1.834291534,0.999999978,,,14,13,142
1624580081,4/27/2016,8367,5.44572246,5.44572246,,1.11143511,1.87476837,2.463814697,,17,36,154,1233,167
1624580081,4/28/2016,2759,1.789999962,1.789999962,,,0.2298232,1.62384186,,,5,115,132,141
1624580081,4/29/2016,239,1.549999952,1.549999952,,,,1.549999952,,,,15,129,144
1624580081,4/30/2016,6474,4.31973486,4.31973486,,0.899999976,1.279999971,2.119999886,0.999999978,11,23,224,1182,1655
1624580081,05/01/2016,3619,28.36866455,28.36866455,,21.92762939,4.19572246,1.999999666,0.199999996,186,63,171,12,269
1624580081,05/02/2016,7155,4.929999828,4.929999828,,0.861435115,0.589999974,3.47286123,,7,6,166,1261,1497
1624580081,05/03/2016,21,1.37476837,1.37476837,,,,1.34333786,0.199999996,,,96,1344,1334
1624580081,05/04/2016,2193,1.429999948,1.429999948,,,,1.419999958,,,,118,1322,1368
1624580081,05/05/2016,247,1.61143511,1.61143511,,,,1.584291534,0.199999996,,,117,1323,137
1624580081,05/06/2016,1727,1.12476837,1.12476837,,,,1.12476837,0.999999978,,,12,1338,1341
1624580081,05/07/2016,214,1.37476837,1.37476837,,,,1.37476837,,,,182,1258,1474
1624580081,05/08/2016,3427,2.23197349,2.23197349,,,,2.22286123,,,,152,1288,1427
1624580081,05/09/2016,1732,1.129999995,1.129999995,,,,1.129999995,,,,91,1349,1328
1624580081,05/10/2016,2969,1.929999948,1.929999948,,,,1.919999958,0.999999978,,,139,131,1393
1624580081,05/11/2016,3134,2.399999619,2.399999619,,,,2.399999619,,,,112,1328,1359
1624580081,05/12/2016,2971,1.929999948,1.929999948,,,,1.919999958,0.999999978,,,17,89,12
1644430081,04/12/2016,1694,7.769999989,7.769999989,,0.1459646,2.299999952,5.329999924,,2,51,256,1131,3199
1644430081,4/13/2016,81,5.821716614,5.821716614,,2.279999971,0.899999976,2.64149417,,3,16,135,1259,292
1644430081,4/14/2016,1137,8.245776367,8.245776367,,0.361435115,2.559999943,5.999999463,,5,58,252,1125,3226
1644430081,4/15/2016,5263,3.829999924,3.829999924,,0.219999999,0.15596464,3.454768372,,3,4,17,1263,275
1644430081,4/16/2016,153,11.11999989,11.11999989,,4.999999463,1.879999995,5.915258789,,51,42,212,1135,3493
1644430081,4/17/2016,8757,6.369999886,6.369999886,,2.25,0.569999993,3.549999952,,29,13,186,1212,311
1644430081,4/18/2016,7132,5.19572246,5.19572246,,1.7524529,1.669999958,2.454768372,,15,33,121,1271,286
1644430081,4/19/2016,11256,8.183517578,8.183517578,,0.361435115,2.529999971,5.31973486,,5,58,278,199,33
1644430081,4/20/2016,2436,1.769999989,1.769999989,,,,1.759999995,0.999999978,,,125,1315,243
1644430081,4/21/2016,1223,0.889999986,0.889999986,,,,0.879999995,0.999999978,,,38,142,214
1644430081,4/22/2016,3673,2.677629395,2.677629395,,,,2.66858369,0.999999978,,,86,1354,2344
1644430081,4/23/2016,6637,4.829999924,4.829999924,,,0.579999983,4.25,,,15,16,1265,2677
1644430081,4/24/2016,3321,2.41858369,2.41858369,,,,2.41858369,,,,89,1351,2413
1644430081,4/25/2016,358,2.599999946,2.599999946,,0.589999974,0.599999987,1.954768372,,8,1,94,1337,2497
1644430081,4/26/2016,9919,7.213814697,7.213814697,,0.81192928,1.72286123,4.69572246,,11,41,223,1165,3123
1644430081,4/27/2016,332,2.24768372,2.24768372,,,,2.24768372,,,,118,1322,2489
1644430081,4/28/2016,945,6.841525879,6.841525879,,0.2298232,2.319999933,4.399999428,,3,53,227,1157,318
1644430081,4/29/2016,3176,2.399999428,2.399999428,,,,2.399999428,,,,12,1193,2498
1644430081,4/30/2016,18213,13.23999977,13.23999977,,0.629999995,3.14149417,9.463814697,,9,71,42,816,3846
1644430081,05/01/2016,6132,4.463814697,4.463814697,,0.239999995,0.999536743,3.23197349,,3,24,146,98,2696
1644430081,05/02/2016,3758,2.73197349,2.73197349,,0.7298232,0.312384186,2.349999946,,1,7,148,682,258
1644430081,05/03/2016,1285,9.341525879,9.341525879,,0.722861229,4.915258789,4.539999962,,1,94,221,1115,3324
1644430081,05/04/2016,239,1.679999948,1.679999948,,,,1.659999967,0.199999996,,,52,1388,2222
1644430081,05/05/2016,4363,3.19572246,3.19572246,,0.519999989,0.542145767,2.131144492,0.999999978,6,12,81,1341,2463
1644430081,05/06/2016,9787,7.119999886,7.119999886,,0.819999993,0.271728836,6.122888184,0.199999996,11,6,369,154,3328
1644430081,05/07/2016,13372,9.722672881,9.722672881,,3.259999995,0.792145767,5.677629395,0.999999978,41,17,243,1139,344
1644430081,05/08/2016,6724,4.889999866,4.889999866,,,,4.881144492,,,,295,991,2987
1644430081,05/09/2016,6643,4.829999924,4.829999924,,2.39149417,0.349999994,2.899999142,0.999999978,32,6,33,199,38
1644430081,05/10/2016,9167,6.659999847,6.659999847,,0.879999995,0.812384186,4.969999792,0.999999978,12,19,155,1254,2799
1644430081,05/11/2016,1329,0.972861229,0.972861229,,,,0.949999989,0.999999978,,,49,713,1276
1844505072,04/12/2016,6697,4.429999828,4.429999828,,,,4.429999828,,,,339,111,23
1844505072,4/13/2016,4929,3.259999995,3.259999995,,,,3.259999995,,,,248,1192,186
1844505072,4/14/2016,7937,5.25,5.25,,,,5.23197349,,,,373,843,213
1844505072,4/15/2016,3844,2.539999962,2.539999962,,,,2.539999962,,,,176,527,1725
1844505072,4/16/2016,3414,2.259999995,2.259999995,,,,2.259999995,,,,147,1293,1657
1844505072,4/17/2016,4525,2.99953674,2.99953674,,0.1459646,0.259999995,2.589999914,,2,8,199,1231,1793
1844505072,4/18/2016,4597,3.399999619,3.399999619,,,0.479999989,2.559999943,,,12,217,1211,1814
1844505072,4/19/2016,197,0.129999995,0.129999995,,,,0.129999995,,,,1,143,1366
1844505072,4/20/2016,8,0.999999978,0.999999978,,,,0.999999978,,,,1,1439,1349
1844505072,4/21/2016,854,5.321716614,5.321716614,,0.119999997,0.519999989,4.679999828,,2,13,38,1117,262
1844505072,4/22/2016,5372,3.549999952,3.549999952,,,,3.549999952,,,,22,122,1827
1844505072,4/23/2016,357,2.359999896,2.359999896,,,,2.359999896,,,,139,131,1645
1844505072,4/24/2016,,,,,,,,,,,,144,1347
1844505072,4/25/2016,,,,,,,,,,,,144,1347
1844505072,4/26/2016,,,,,,,,,,,,144,1347
1844505072,4/27/2016,4,,,,,,,,,,1,1439,1348
1844505072,4/28/2016,697,4.571716614,4.571716614,,,,4.559999943,,,,32,1138,1992
1844505072,4/29/2016,492,3.25,3.25,,,,3.25,,,,247,182,1856
1844505072,4/30/2016,414,2.677629395,2.677629395,,,,2.659536743,,,,184,218,1763
1844505072,05/01/2016,2573,1.74768372,1.74768372,,,0.259999995,1.454768372,,,7,75,585,1541
1844505072,05/02/2016,,,,,,,,,,,,144,1348
1844505072,05/03/2016,459,2.68667572,2.68667572,,,,2.68667572,,,,184,1256,1742
1844505072,05/04/2016,28,1.37476837,1.37476837,,,,1.37476837,,,,87,1353,1549
1844505072,05/05/2016,2237,1.48197349,1.48197349,,,,1.48197349,,,,12,132,1589
1844505072,05/06/2016,44,0.299999993,0.299999993,,,,0.299999993,,,,2,1438,1351
1844505072,05/07/2016,,,,,,,,,,,,144,1347
1844505072,05/08/2016,,,,,,,,,,,,144,1347
1844505072,05/09/2016,,,,,,,,,,,,144,1347
1844505072,05/10/2016,,,,,,,,,,,,144,1347
1844505072,05/11/2016,,,,,,,,,,,,144,1347
1844505072,05/12/2016,,,,,,,,,,,,711,665
1927972279,04/12/2016,678,0.469999999,0.469999999,,,,0.469999999,,,,55,734,222
1927972279,4/13/2016,356,0.25,0.25,,,,0.25,,,,32,986,2151
1927972279,4/14/2016,2163,1.5,1.5,,,0.4596464,1.12384186,,,9,88,1292,2383
1927972279,4/15/2016,98,0.687152557,0.687152557,,,,0.687152557,,,,51,941,2221
1927972279,4/16/2016,,,,,,,,,,,,144,264
1927972279,4/17/2016,,,,,,,,,,,,144,263
1927972279,4/18/2016,244,0.171788139,0.171788139,,,,0.171788139,,,,17,1423,2111
1927972279,4/19/2016,,,,,,,,,,,,144,263
1927972279,4/20/2016,,,,,,,,,,,,144,263
1927972279,4/21/2016,,,,,,,,,,,,144,264
1927972279,4/22/2016,149,0.1149116,0.1149116,,,,0.1149116,,,,1,143,293
1927972279,4/23/2016,2945,2.399999619,2.399999619,,,,2.399999619,,,,145,1295,2499
1927972279,4/24/2016,29,1.454768372,1.454768372,,0.7298232,0.239999995,1.139999986,,1,6,75,1358,2324
1927972279,4/25/2016,152,0.199999994,0.199999994,,,,0.199999994,,,,12,133,21
1927972279,4/26/2016,3761,2.599999946,2.599999946,,,,2.599999946,,,,192,158,2638
1927972279,4/27/2016,,,,,,,,,,,,144,263
1927972279,4/28/2016,1675,1.159999967,1.159999967,,,,1.159999967,,,,95,1167,2351
1927972279,4/29/2016,,,,,,,,,,,,144,263
1927972279,4/30/2016,,,,,,,,,,,,144,264
1927972279,05/01/2016,274,1.87476837,1.87476837,,1.999999463,0.299999993,0.829999983,,14,1,7,1355,2411
1927972279,05/02/2016,379,2.619999886,2.619999886,,1.159999967,0.31192929,1.159999967,,16,8,94,1322,255
1927972279,05/03/2016,1326,0.921668931,0.921668931,,0.731973486,,0.187152557,,1,,17,1413,2195
1927972279,05/04/2016,1786,1.24953674,1.24953674,,,,1.24953674,,,,87,1353,2338
1927972279,05/05/2016,,,,,,,,,,,,144,263
1927972279,05/06/2016,291,1.454768372,1.454768372,,,,1.454768372,,,,18,1332,2383
1927972279,05/07/2016,151,1.399999619,1.399999619,,,,1.399999619,,,,48,1392,2229
1927972279,05/08/2016,,,,,,,,,,,,144,263
1927972279,05/09/2016,,,,,,,,,,,,144,263
1927972279,05/10/2016,,,,,,,,,,,,144,263
1927972279,05/11/2016,,,,,,,,,,,,144,263
1927972279,05/12/2016,,,,,,,,,,,,966,1383
2022484408,04/12/2016,11875,8.341525879,8.341525879,,3.399999428,0.769999989,4.262288818,,42,14,227,1157,239
2022484408,4/13/2016,1224,8.5,8.5,,2.99953674,0.1149116,5.499998474,,43,5,292,11,261
2022484408,4/14/2016,169,7.5,7.5,,2.48197349,0.299999934,4.821716614,,32,3,257,1148,2312
2022484408,4/15/2016,1134,8.29999733,8.29999733,,1.94572246,0.312384186,5.78298834,,27,9,282,1122,2525
2022484408,4/16/2016,11,7.915258789,7.915258789,,3.159536743,0.551192928,3.39149417,,41,11,151,1237,2177
2022484408,4/17/2016,15112,11.39999962,11.39999962,,3.869999886,0.662622644,6.881144492,,28,29,331,152,2782
2022484408,4/18/2016,14131,1.699996948,1.699996948,,3.64149417,0.119999997,6.31973486,,48,3,311,178,277
2022484408,4/19/2016,11548,8.529999733,8.529999733,,3.289999962,0.239999995,5,,31,7,25,1152,2489
2022484408,4/20/2016,15112,1.67762939,1.67762939,,3.339999914,1.929999948,5.49536743,,48,63,276,153,2897
2022484408,4/21/2016,12453,8.739999771,8.739999771,,3.329999924,1.11143511,4.399999428,,14,53,255,128,3158
2022484408,4/22/2016,12954,9.329999924,9.329999924,,4.429999828,0.419999987,4.469999792,,52,1,273,115,2638
2022484408,4/23/2016,61,4.213814697,4.213814697,,,,4.213814697,,,,249,1191,269
2022484408,4/24/2016,13481,1.279999733,1.279999733,,4.551973486,1.149999976,4.579999924,,37,26,216,1161,2529
2022484408,4/25/2016,11369,8.122888184,8.122888184,,3.329999924,0.219999999,4.463814697,,44,8,217,1171,247
2022484408,4/26/2016,1119,7.19572246,7.19572246,,1.429999948,0.662622644,5.111335144,,55,24,275,186,2793
2022484408,4/27/2016,1159,7.131144492,7.131144492,,1.399999619,0.972861229,5.119999886,,19,2,282,1119,2463
2022484408,4/28/2016,114,7.119999886,7.119999886,,0.499999964,1.334291534,5.389999866,,6,2,291,1123,2296
2022484408,4/29/2016,1245,7.19572246,7.19572246,,0.479999989,1.213814697,5.5,,21,4,281,198,2611
2022484408,4/30/2016,18387,12.99999847,12.99999847,,0.939999998,1.399999976,1.569999695,,13,23,361,143,2732
2022484408,05/01/2016,1538,7.49536743,7.49536743,,1.94572246,0.959999979,4.5,,25,28,245,1142,238
2022484408,05/02/2016,1379,7.289999962,7.289999962,,2.69999896,0.343576279,4.329999924,,36,8,277,1119,2473
2022484408,05/03/2016,12183,8.739999771,8.739999771,,3.99953674,0.46834465,4.28298834,,72,14,25,114,2752
2022484408,05/04/2016,11768,8.289999962,8.289999962,,2.599999946,0.937152557,4.849999946,,36,27,272,115,2649
2022484408,05/05/2016,11895,8.353814697,8.353814697,,2.789999962,0.861435115,4.699999893,,55,2,253,1112,269
2022484408,05/06/2016,1227,7.179999828,7.179999828,,1.87476837,0.671668931,4.639999866,,24,17,295,114,2498
2022484408,05/07/2016,678,4.713814697,4.713814697,,1.61143511,0.799999982,3.199999893,,2,2,149,1269,1995
2022484408,05/08/2016,3292,2.399999428,2.399999428,,,,2.399999428,,,,135,135,1848
2022484408,05/09/2016,13379,9.393433228,9.393433228,,2.119999886,1.629999995,5.639999866,,35,47,297,161,279
2022484408,05/10/2016,12798,8.979999542,8.979999542,,2.22286123,1.213814697,5.559999943,,57,28,271,184,2797
2022484408,05/11/2016,13272,9.319999695,9.319999695,,4.179999828,1.149999976,3.99953674,,58,25,224,1133,2544
2022484408,05/12/2016,9117,6.499998474,6.499998474,,1.279999971,0.671668931,4.44572246,,16,16,236,728,1853
2026352035,04/12/2016,4414,2.74953674,2.74953674,,0.189999998,0.349999994,2.24768372,,3,8,181,76,1459
2026352035,4/13/2016,4993,3.999999463,3.999999463,,,,3.999999463,,,,238,663,1521
2026352035,4/14/2016,3335,2.699999332,2.699999332,,,,2.499999523,,,,197,653,1431
2026352035,4/15/2016,3821,2.369999886,2.369999886,,,,2.369999886,,,,188,687,1444
2026352035,4/16/2016,2547,1.584291534,1.584291534,,,,1.584291534,,,,15,728,1373
2026352035,4/17/2016,838,0.519999989,0.519999989,,,,0.519999989,,,,6,153,1214
2026352035,4/18/2016,3325,2.599999428,2.599999428,,,,2.599999428,,,,182,162,1419
2026352035,4/19/2016,2424,1.5,1.5,,,,1.5,,,,141,785,1356
2026352035,4/20/2016,7222,4.48197349,4.48197349,,,,4.48197349,,,,327,623,1667
2026352035,4/21/2016,2467,1.529999971,1.529999971,,,,1.529999971,,,,153,749,137
2026352035,4/22/2016,2915,1.899999428,1.899999428,,,,1.899999428,,,,162,712,1399
2026352035,4/23/2016,12357,7.713814697,7.713814697,,,,7.713814697,,,,432,458,1916
2026352035,4/24/2016,349,2.16858369,2.16858369,,,,2.16858369,,,,164,74,141
2026352035,4/25/2016,617,3.73197349,3.73197349,,,,3.73197349,,,,26,821,1576
2026352035,4/26/2016,5933,3.68667572,3.68667572,,,,3.68667572,,,,288,118,1595
2026352035,4/27/2016,688,3.769999989,3.769999989,,,,3.769999989,,,,286,586,1593
2026352035,4/28/2016,6375,3.954768372,3.954768372,,,,3.954768372,,,,331,626,1649
2026352035,4/29/2016,764,4.713814697,4.713814697,,,,4.713814697,,,,352,492,1692
2026352035,4/30/2016,4729,2.93667572,2.93667572,,,,2.93667572,,,,233,594,156
2026352035,05/01/2016,369,2.279999971,2.279999971,,,,2.279999971,,,,191,716,1447
2026352035,05/02/2016,718,4.349999946,4.349999946,,,,4.349999946,,,,355,716,169
2026352035,05/03/2016,5992,3.72286123,3.72286123,,,,3.72286123,,,,34,981,164
2026352035,05/04/2016,6564,4.717166138,4.717166138,,,,4.717166138,,,,345,53,1658
2026352035,05/05/2016,12167,7.539999962,7.539999962,,,,7.539999962,,,,475,479,1926
2026352035,05/06/2016,8198,5.799999238,5.799999238,,,,5.799999238,,,,383,511,1736
2026352035,05/07/2016,4193,2.599999946,2.599999946,,,,2.599999946,,,,229,665,1491
2026352035,05/08/2016,5528,3.454768372,3.454768372,,,,3.454768372,,,,258,61,1555
2026352035,05/09/2016,1685,6.619999886,6.619999886,,,,6.599999946,,,,41,543,1869
2026352035,05/10/2016,254,0.159999996,0.159999996,,,,0.159999996,,,,17,12,1141
2026352035,05/11/2016,858,5.321716614,5.321716614,,,,5.321716614,,,,33,569,1698
2026352035,05/12/2016,8891,5.512288818,5.512288818,,,,5.512288818,,,,343,33,1364
2320127002,04/12/2016,1725,7.489999771,7.489999771,,1.169999958,0.312384186,6.122888184,,13,9,36,1112,2124
2320127002,4/13/2016,7275,4.99536743,4.99536743,,,,4.99536743,,,,335,115,23
2320127002,4/14/2016,3973,2.68667572,2.68667572,,,,2.68667572,,,,191,1249,1696
2320127002,4/15/2016,525,3.599999946,3.599999946,,,,3.599999946,,,,245,1195,181
2320127002,4/16/2016,557,3.41858369,3.41858369,,,,3.49536743,,,,195,1245,1724
2320127002,4/17/2016,6198,4.179999828,4.179999828,,,,4.179999828,,,,249,1191,1852
2320127002,4/18/2016,6559,4.427629395,4.427629395,,,0.259999995,4.139999866,,,7,26,1173,195
2320127002,4/19/2016,5997,4.399999619,4.399999619,,,0.379999995,3.66858369,,,11,228,121,1811
2320127002,4/20/2016,7192,4.849999946,4.849999946,,,0.499536743,4.341525879,,,11,283,1146,1922
2320127002,4/21/2016,344,2.289999962,2.289999962,,0.599999987,0.419999987,1.899999428,,1,1,127,132,161
2320127002,4/22/2016,5583,3.759999995,3.759999995,,,,3.759999995,,,,266,1174,1851
2320127002,4/23/2016,579,3.427629395,3.427629395,,,,3.427629395,,,,242,1129,184
2320127002,4/24/2016,4165,2.899999428,2.899999428,,,,2.799999952,,,,24,1236,1725
2320127002,4/25/2016,3588,2.427629395,2.427629395,,0.234172325,0.2298232,1.99953674,,3,5,152,128,1654
2320127002,4/26/2016,349,2.299999952,2.299999952,,,,2.299999952,,,,147,1293,1632
2320127002,4/27/2016,1715,1.159999967,1.159999967,,,,1.159999967,,,,82,1358,1481
2320127002,4/28/2016,1532,1.299999714,1.299999714,,,,1.299999714,,,,76,1364,1473
2320127002,4/29/2016,924,0.624768372,0.624768372,,,,0.624768372,,,,45,1395,141
2320127002,4/30/2016,4571,3.799999238,3.799999238,,,,3.699999332,,,,234,126,1779
2320127002,05/01/2016,772,0.519999989,0.519999989,,,,0.519999989,,,,4,14,143
2320127002,05/02/2016,3634,2.454768372,2.454768372,,0.361435115,0.299999934,1.879999995,,5,6,123,136,1613
2320127002,05/03/2016,7443,5.199999893,5.199999893,,1.49953674,0.374768372,3.16858369,,2,1,26,124,1878
2320127002,05/04/2016,121,0.812384186,0.812384186,,,,0.812384186,,,,52,1388,1426
2320127002,05/05/2016,522,3.599999946,3.599999946,,,0.389999986,3.19999896,,,11,223,126,178
2320127002,05/06/2016,4878,3.289999962,3.289999962,,,,3.289999962,,,,24,1236,1742
2320127002,05/07/2016,7379,4.969999792,4.969999792,,,,4.969999792,,,,319,1121,1972
2320127002,05/08/2016,5161,3.48197349,3.48197349,,,,3.47286123,,,,247,1193,1821
2320127002,05/09/2016,39,2.799999238,2.799999238,,,,2.799999238,,,,145,1295,163
2320127002,05/10/2016,6227,4.199999893,4.199999893,,,,4.199999893,,,,29,115,1899
